Recording ID,Database,Subspecies_Friis,Latitude,Longitude,Date,Month,Year,Time
15244,ML,oreganus,46.86583,-117.167208,6/16/58,6,1958,845
15245,ML,oreganus,37.931832,-119.185775,3/27/61,3,1961,0
15248,ML,oreganus,36.028212,-121.506456,6/23/61,6,1961,800
15249,ML,oreganus,37.864775,-119.537913,6/29/61,6,1961,900
15250,ML,oreganus,36.51455,-121.943334,6/26/61,6,1961,1000
20829,XC,hyemalis,35.5778,-83.4798,5/23/08,5,2008,1857
20830,XC,hyemalis,35.5778,-83.4798,5/23/08,5,2008,1936
22066,XC,oreganus,37.8328,-119.4909,7/2/07,7,2007,835
23007,ML,oreganus,39.409381,-123.352378,6/10/61,6,1961,0
26764,ML,hyemalis,36.107098,-82.110165,6/13/79,6,1979,900
27112,ML,hyemalis,42.302488,-76.725205,5/21/81,5,1981,1100
30894,XC,hyemalis,42.926012,-83.19191,3/17/08,3,2008,0
31262,XC,hyemalis,44.5598,-84.0578,6/27/08,6,2008,0
35301,XC,oreganus,47.7839,-122.2739,6/7/09,6,2009,625
36934,ML,hyemalis,42.362092,-76.679595,6/21/86,6,1986,1100
38508,ML,hyemalis,42.2666667,-76.65,6/8/87,6,1987,700
38510,ML,hyemalis,42.2666667,-76.65,6/8/87,6,1987,700
42250,ML,oreganus,43.296121,-124.334697,6/25/88,6,1988,540
44381,ML,oreganus,39.66765,-120.4262167,6/5/89,6,1989,528
44556,ML,oreganus,39.66765,-120.4262167,6/14/89,6,1989,510
44603,ML,oreganus,39.324005,-120.598891,6/16/89,6,1989,0
44616,ML,oreganus,39.321516,-120.599116,6/11/89,6,1989,0
